"COLLEGE_CODE","PROGRAM_CODE","PROGRAM_DESC","MAJOR_CODE","MAJOR_DESC","KPI_DEGREE","KPI_DIVISION"
"2","2S03844","AS Construction-Management","5310","Construction-Management","Construction Technology","Tech and Engineering"
"2","2A31522","History AA-T","5541","History AA-T","History","Social Science"
"1","1C22919","Aviation IV Advanced Pilot","2919","Aviation IV Advanced Pilot","Cypress College Degree","Cypress College Division"
"1","1A31003","Sociology AA-T","0096","Sociology AA-T","Cypress College Degree","Cypress College Division"
"1","1C12972","Brake and Alignment Specialist","0102","AutoTech: Brake & Align. Spec.","Cypress College Degree","Cypress College Division"
"1","1C40484M","Dtl Hyg. Pit/Fissure Sealant","0207","Dtl Hyg. Pit/Fissure Sealant","Cypress College Degree","Cypress College Division"
"2","2C11690","Radio & Television/Video Prod","7283","Radio & Television/Video Prod","Cinema Film TV","Tech and Engineering"
"1","1C17140","Special Event Management","2211","Special Event Management","Cypress College Degree","Cypress College Division"
"1","1C12985","Restaurant/Lodging Entrepreneu","0107","Restaurant/Lodging Entrepreneu","Cypress College Degree","Cypress College Division"
"1","1C12979N","Food and Beverage Fundamentals","0253","Food & Beverage Fundamentals","Cypress College Degree","Cypress College Division"
"1","1C37702N","ESL Mlstn-Pthwy LA/WC","5026","ESL Mlstn-Pthwy LA/WC","Cypress College Degree","Cypress College Division"
"1","1C37703N","ESL Mlstn-Pathway to Social Sc","5024","ESL Mlstn-Pathway to Social Sc","Cypress College Degree","Cypress College Division"
"1","1S03814","Flight Attendant","0240","Flight Attendant","Cypress College Degree","Cypress College Division"
"1","1C37064N","T-TEN Engine & Driveline Spec","8031","T-TEN Engine & Driveline Spec","Cypress College Degree","Cypress College Division"
"1","1N40222","T-TEN Main Tech Cert","2638","T-TEN Main Tech Cert","Cypress College Degree","Cypress College Division"
"2","2S08434A","Paralegal Studies","5781","Paralegal Studies","Paralegal Studies","Business"
"1","1C43497N","Mechatronics & Ind. Automation","0222","Mechatronics & Ind. Automation","Cypress College Degree","Cypress College Division"
"2","2C08419A","Piano Teaching","7731","Piano Teaching","Music","Fine Arts"
"1","1C42811","30Unit NonDeg: Lisc. Voc. Nur","0419","30Unit NonDeg: Lisc. Voc. Nur","Cypress College Degree","Cypress College Division"
"1","1S37539","Hospitality Management AS-T","2791","Hospitality Management AS-T","Cypress College Degree","Cypress College Division"
